Frame,Player ID,Team,Team Color,Position,Has Ball,Speed (km/h),Distance (m)
0,1,1,[     144.11      227.51      180.38],"[1276.3873291015625, 393.9494934082031, 1306.1214599609375, 463.6969299316406]",False,0.00,0.00
0,2,2,[     228.83      229.03      219.14],"[586.660400390625, 588.9763793945312, 631.1004638671875, 674.0316162109375]",False,7.19,0.42
0,4,2,[     228.83      229.03      219.14],"[1228.96484375, 431.3632507324219, 1265.4407958984375, 501.0711364746094]",False,0.00,0.00
0,5,2,[     228.83      229.03      219.14],"[359.7945861816406, 721.108154296875, 394.9273986816406, 826.0277709960938]",False,6.22,0.36
0,6,1,[     144.11      227.51      180.38],"[532.4602661132812, 688.25830078125, 579.9711303710938, 785.525390625]",False,2.07,0.12
0,7,1,[     144.11      227.51      180.38],"[841.9821166992188, 634.367431640625, 899.5402221679688, 722.4459228515625]",False,12.38,0.72
0,8,1,[     144.11      227.51      180.38],"[1309.5384521484375, 447.0802307128906, 1351.2205810546875, 517.4390258789062]",False,0.00,0.00
0,9,1,[     144.11      227.51      180.38],"[328.7742919921875, 494.2998962402344, 363.1731262207031, 569.420166015625]",False,3.01,0.17
0,10,1,[     144.11      227.51      180.38],"[1571.83349609375, 612.2078857421875, 1615.5726318359375, 695.8729858398438]",False,0.00,0.00
0,11,1,[     144.11      227.51      180.38],"[872.5111083984375, 361.8458251953125, 904.4967041015625, 423.0139465332031]",False,5.35,0.31
0,12,2,[     228.83      229.03      219.14],"[373.5062561035156, 304.7184753417969, 401.0339660644531, 365.7449645996094]",False,2.82,0.16
0,13,1,[     144.11      227.51      180.38],"[994.552734375, 454.6537170410156, 1028.3382568359375, 526.6541748046875]",False,2.37,0.14
0,14,2,[     228.83      229.03      219.14],"[1160.035400390625, 355.9468688964844, 1187.47265625, 413.7249755859375]",False,0.00,0.00
0,15,2,[     228.83      229.03      219.14],"[1370.1265869140625, 815.2760009765625, 1441.612060546875, 901.25390625]",False,7.25,0.42
0,16,2,[     228.83      229.03      219.14],"[222.80438232421875, 514.2423706054688, 257.6780090332031, 593.5426025390625]",False,3.36,0.19
0,17,2,[     228.83      229.03      219.14],"[1124.7996826171875, 706.9877319335938, 1182.74072265625, 793.614990234375]",False,10.00,0.58
0,19,2,[     228.83      229.03      219.14],"[776.6931762695312, 417.75640869140625, 805.489990234375, 488.06103515625]",False,7.62,0.44
0,20,1,[     144.11      227.51      180.38],"[1133.5660400390625, 725.2044067382812, 1198.3260498046875, 797.344482421875]",False,5.53,0.32
0,21,1,[     144.11      227.51      180.38],"[1892.0130615234375, 377.50286865234375, 1919.9996337890625, 443.6707763671875]",False,0.00,0.00
0,23,2,[     228.83      229.03      219.14],"[946.6036376953125, 227.44436645507812, 967.7426147460938, 273.2784118652344]",False,0.00,0.00
1,1,1,[     144.11      227.51      180.38],"[1276.361572265625, 393.8748779296875, 1306.07666015625, 463.68804931640625]",False,0.00,0.00
1,2,2,[     228.83      229.03      219.14],"[586.6500244140625, 588.9234619140625, 631.1275634765625, 674.0640258789062]",False,7.19,0.42
1,4,2,[     228.83      229.03      219.14],"[1228.9610595703125, 431.34320068359375, 1265.4456787109375, 501.08477783203125]",False,0.00,0.00
1,5,2,[     228.83      229.03      219.14],"[359.7689514160156, 721.1416015625, 394.93463134765625, 826.0482788085938]",False,6.22,0.36
1,6,1,[     144.11      227.51      180.38],"[532.4849853515625, 688.2394409179688, 579.9335327148438, 785.5264892578125]",False,2.07,0.12
1,7,1,[     144.11      227.51      180.38],"[842.0354614257812, 634.3555297851562, 899.5322265625, 722.4321899414062]",False,12.38,0.72
1,8,1,[     144.11      227.51      180.38],"[1309.541015625, 446.981689453125, 1351.2403564453125, 517.395263671875]",False,0.00,0.00
1,10,1,[     144.11      227.51      180.38],"[1571.8150634765625, 612.2405395507812, 1615.7735595703125, 695.8653564453125]",False,0.00,0.00
1,11,1,[     144.11      227.51      180.38],"[872.3905029296875, 361.8741149902344, 904.5040893554688, 423.0352783203125]",False,5.35,0.31
1,9,1,[     144.11      227.51      180.38],"[328.75396728515625, 494.4901428222656, 363.1621398925781, 569.4518432617188]",False,3.01,0.17
1,12,2,[     228.83      229.03      219.14],"[373.4789733886719, 304.7186279296875, 401.05511474609375, 365.7627258300781]",False,2.82,0.16
1,13,1,[     144.11      227.51      180.38],"[994.567626953125, 454.6204833984375, 1028.351318359375, 526.6766967773438]",False,2.37,0.14
1,14,2,[     228.83      229.03      219.14],"[1160.0125732421875, 355.9241638183594, 1187.54833984375, 413.7146301269531]",False,0.00,0.00
1,15,2,[     228.83      229.03      219.14],"[1370.150146484375, 815.1288452148438, 1441.57470703125, 901.2788696289062]",False,7.25,0.42
1,16,2,[     228.83      229.03      219.14],"[222.82315063476562, 514.056884765625, 257.55633544921875, 593.5975952148438]",False,3.36,0.19
